universe_id,provider,source_id,member_code,member_name,valid_from,valid_to,as_of_date,weight,rank,member_type
index:CSI300,tushare,000300.SH,000001.SZ,,20260506,,20260506,0.4139,61,equity
index:CSI300,tushare,000300.SH,000002.SZ,,20260506,,20260506,0.1025,234,equity
index:CSI300,tushare,000300.SH,000063.SZ,,20260506,,20260506,0.4629,55,equity
index:CSI300,tushare,000300.SH,000100.SZ,,20260506,,20260506,0.3351,83,equity
index:CSI300,tushare,000300.SH,000157.SZ,,20260506,,20260506,0.1496,183,equity
index:CSI300,tushare,000300.SH,000166.SZ,,20260506,,20260506,0.1618,168,equity
index:CSI300,tushare,000300.SH,000301.SZ,,20260506,,20260506,0.1326,201,equity
index:CSI300,tushare,000300.SH,000333.SZ,,20260506,,20260506,1.4875,8,equity
index:CSI300,tushare,000300.SH,000338.SZ,,20260506,,20260506,0.6981,30,equity
index:CSI300,tushare,000300.SH,000408.SZ,,20260506,,20260506,0.2659,106,equity
index:CSI300,tushare,000300.SH,000425.SZ,,20260506,,20260506,0.3573,74,equity
index:CSI300,tushare,000300.SH,000538.SZ,,20260506,,20260506,0.1764,158,equity
index:CSI300,tushare,000300.SH,000568.SZ,,20260506,,20260506,0.2718,102,equity
index:CSI300,tushare,000300.SH,000596.SZ,,20260506,,20260506,0.0651,275,equity
index:CSI300,tushare,000300.SH,000617.SZ,,20260506,,20260506,0.09,245,equity
index:CSI300,tushare,000300.SH,000625.SZ,,20260506,,20260506,0.1761,159,equity
index:CSI300,tushare,000300.SH,000630.SZ,,20260506,,20260506,0.1964,140,equity
index:CSI300,tushare,000300.SH,000651.SZ,,20260506,,20260506,0.6723,34,equity
index:CSI300,tushare,000300.SH,000661.SZ,,20260506,,20260506,0.1047,232,equity
index:CSI300,tushare,000300.SH,000708.SZ,,20260506,,20260506,0.0587,281,equity
index:CSI300,tushare,000300.SH,000725.SZ,,20260506,,20260506,0.5764,41,equity
index:CSI300,tushare,000300.SH,000768.SZ,,20260506,,20260506,0.1228,208,equity
index:CSI300,tushare,000300.SH,000776.SZ,,20260506,,20260506,0.2348,119,equity
index:CSI300,tushare,000300.SH,000786.SZ,,20260506,,20260506,0.1018,236,equity
index:CSI300,tushare,000300.SH,000792.SZ,,20260506,,20260506,0.4817,52,equity
index:CSI300,tushare,000300.SH,000807.SZ,,20260506,,20260506,0.2552,110,equity
index:CSI300,tushare,000300.SH,000858.SZ,,20260506,,20260506,0.6724,33,equity
index:CSI300,tushare,000300.SH,000876.SZ,,20260506,,20260506,0.0738,263,equity
index:CSI300,tushare,000300.SH,000895.SZ,,20260506,,20260506,0.1082,229,equity
index:CSI300,tushare,000300.SH,000938.SZ,,20260506,,20260506,0.2395,116,equity
index:CSI300,tushare,000300.SH,000963.SZ,,20260506,,20260506,0.1097,225,equity
index:CSI300,tushare,000300.SH,000975.SZ,,20260506,,20260506,0.1726,162,equity
index:CSI300,tushare,000300.SH,000977.SZ,,20260506,,20260506,0.2827,99,equity
index:CSI300,tushare,000300.SH,000983.SZ,,20260506,,20260506,0.0779,256,equity
index:CSI300,tushare,000300.SH,000999.SZ,,20260506,,20260506,0.0644,277,equity
index:CSI300,tushare,000300.SH,001391.SZ,,20260506,,20260506,0.0191,300,equity
index:CSI300,tushare,000300.SH,001965.SZ,,20260506,,20260506,0.0728,264,equity
index:CSI300,tushare,000300.SH,001979.SZ,,20260506,,20260506,0.1226,209,equity
index:CSI300,tushare,000300.SH,002001.SZ,,20260506,,20260506,0.1961,142,equity
index:CSI300,tushare,000300.SH,002027.SZ,,20260506,,20260506,0.2411,114,equity
index:CSI300,tushare,000300.SH,002028.SZ,,20260506,,20260506,0.4818,51,equity
index:CSI300,tushare,000300.SH,002049.SZ,,20260506,,20260506,0.2018,138,equity
index:CSI300,tushare,000300.SH,002050.SZ,,20260506,,20260506,0.4049,63,equity
index:CSI300,tushare,000300.SH,002074.SZ,,20260506,,20260506,0.1569,174,equity
index:CSI300,tushare,000300.SH,002142.SZ,,20260506,,20260506,0.4063,62,equity
index:CSI300,tushare,000300.SH,002179.SZ,,20260506,,20260506,0.1774,157,equity
index:CSI300,tushare,000300.SH,002230.SZ,,20260506,,20260506,0.4296,58,equity
index:CSI300,tushare,000300.SH,002236.SZ,,20260506,,20260506,0.1357,197,equity
index:CSI300,tushare,000300.SH,002241.SZ,,20260506,,20260506,0.233,121,equity
index:CSI300,tushare,000300.SH,002252.SZ,,20260506,,20260506,0.1111,223,equity
index:CSI300,tushare,000300.SH,002304.SZ,,20260506,,20260506,0.1102,224,equity
index:CSI300,tushare,000300.SH,002311.SZ,,20260506,,20260506,0.1508,181,equity
index:CSI300,tushare,000300.SH,002352.SZ,,20260506,,20260506,0.336,82,equity
index:CSI300,tushare,000300.SH,002371.SZ,,20260506,,20260506,0.8867,23,equity
index:CSI300,tushare,000300.SH,002384.SZ,,20260506,,20260506,0.9239,20,equity
index:CSI300,tushare,000300.SH,002415.SZ,,20260506,,20260506,0.4962,50,equity
index:CSI300,tushare,000300.SH,002422.SZ,,20260506,,20260506,0.1429,189,equity
index:CSI300,tushare,000300.SH,002459.SZ,,20260506,,20260506,0.0814,251,equity
index:CSI300,tushare,000300.SH,002460.SZ,,20260506,,20260506,0.3879,66,equity
index:CSI300,tushare,000300.SH,002463.SZ,,20260506,,20260506,0.5298,45,equity
index:CSI300,tushare,000300.SH,002466.SZ,,20260506,,20260506,0.3173,91,equity
index:CSI300,tushare,000300.SH,002475.SZ,,20260506,,20260506,1.2841,10,equity
index:CSI300,tushare,000300.SH,002493.SZ,,20260506,,20260506,0.1542,177,equity
index:CSI300,tushare,000300.SH,002594.SZ,,20260506,,20260506,1.028,14,equity
index:CSI300,tushare,000300.SH,002600.SZ,,20260506,,20260506,0.1937,144,equity
index:CSI300,tushare,000300.SH,002601.SZ,,20260506,,20260506,0.1063,230,equity
index:CSI300,tushare,000300.SH,002625.SZ,,20260506,,20260506,0.227,125,equity
index:CSI300,tushare,000300.SH,002648.SZ,,20260506,,20260506,0.1865,149,equity
index:CSI300,tushare,000300.SH,002709.SZ,,20260506,,20260506,0.3422,81,equity
index:CSI300,tushare,000300.SH,002714.SZ,,20260506,,20260506,0.4579,57,equity
index:CSI300,tushare,000300.SH,002736.SZ,,20260506,,20260506,0.1247,206,equity
index:CSI300,tushare,000300.SH,002916.SZ,,20260506,,20260506,0.3192,90,equity
index:CSI300,tushare,000300.SH,002920.SZ,,20260506,,20260506,0.1171,215,equity
index:CSI300,tushare,000300.SH,002938.SZ,,20260506,,20260506,0.1962,141,equity
index:CSI300,tushare,000300.SH,003816.SZ,,20260506,,20260506,0.1356,198,equity
index:CSI300,tushare,000300.SH,300014.SZ,,20260506,,20260506,0.353,76,equity
index:CSI300,tushare,000300.SH,300015.SZ,,20260506,,20260506,0.1886,147,equity
index:CSI300,tushare,000300.SH,300033.SZ,,20260506,,20260506,0.2783,100,equity
index:CSI300,tushare,000300.SH,300059.SZ,,20260506,,20260506,0.99,17,equity
index:CSI300,tushare,000300.SH,300122.SZ,,20260506,,20260506,0.0693,271,equity
index:CSI300,tushare,000300.SH,300124.SZ,,20260506,,20260506,0.5044,49,equity
index:CSI300,tushare,000300.SH,300251.SZ,,20260506,,20260506,0.0809,252,equity
index:CSI300,tushare,000300.SH,300274.SZ,,20260506,,20260506,0.7659,26,equity
index:CSI300,tushare,000300.SH,300308.SZ,,20260506,,20260506,3.5719,2,equity
index:CSI300,tushare,000300.SH,300316.SZ,,20260506,,20260506,0.1097,226,equity
index:CSI300,tushare,000300.SH,300347.SZ,,20260506,,20260506,0.1047,233,equity
index:CSI300,tushare,000300.SH,300394.SZ,,20260506,,20260506,0.5538,42,equity
index:CSI300,tushare,000300.SH,300408.SZ,,20260506,,20260506,0.4282,59,equity
index:CSI300,tushare,000300.SH,300413.SZ,,20260506,,20260506,0.0556,286,equity
index:CSI300,tushare,000300.SH,300418.SZ,,20260506,,20260506,0.1718,163,equity
index:CSI300,tushare,000300.SH,300433.SZ,,20260506,,20260506,0.1992,139,equity
index:CSI300,tushare,000300.SH,300442.SZ,,20260506,,20260506,0.2953,95,equity
index:CSI300,tushare,000300.SH,300476.SZ,,20260506,,20260506,0.7457,27,equity
index:CSI300,tushare,000300.SH,300498.SZ,,20260506,,20260506,0.332,86,equity
index:CSI300,tushare,000300.SH,300502.SZ,,20260506,,20260506,1.9503,6,equity
index:CSI300,tushare,000300.SH,300628.SZ,,20260506,,20260506,0.0701,269,equity
index:CSI300,tushare,000300.SH,300661.SZ,,20260506,,20260506,0.1437,186,equity
index:CSI300,tushare,000300.SH,300750.SZ,,20260506,,20260506,4.5686,1,equity
index:CSI300,tushare,000300.SH,300759.SZ,,20260506,,20260506,0.1091,228,equity
index:CSI300,tushare,000300.SH,300760.SZ,,20260506,,20260506,0.3931,65,equity
index:CSI300,tushare,000300.SH,300782.SZ,,20260506,,20260506,0.1337,199,equity
index:CSI300,tushare,000300.SH,300803.SZ,,20260506,,20260506,0.1388,192,equity
index:CSI300,tushare,000300.SH,300832.SZ,,20260506,,20260506,0.0694,270,equity
index:CSI300,tushare,000300.SH,300866.SZ,,20260506,,20260506,0.0991,238,equity
index:CSI300,tushare,000300.SH,300896.SZ,,20260506,,20260506,0.0658,274,equity
index:CSI300,tushare,000300.SH,300979.SZ,,20260506,,20260506,0.0252,297,equity
index:CSI300,tushare,000300.SH,300999.SZ,,20260506,,20260506,0.0643,278,equity
index:CSI300,tushare,000300.SH,301236.SZ,,20260506,,20260506,0.0969,239,equity
index:CSI300,tushare,000300.SH,301269.SZ,,20260506,,20260506,0.0739,262,equity
index:CSI300,tushare,000300.SH,302132.SZ,,20260506,,20260506,0.0753,259,equity
index:CSI300,tushare,000300.SH,600000.SH,,20260506,,20260506,0.4593,56,equity
index:CSI300,tushare,000300.SH,600009.SH,,20260506,,20260506,0.1279,203,equity
index:CSI300,tushare,000300.SH,600010.SH,,20260506,,20260506,0.2398,115,equity
index:CSI300,tushare,000300.SH,600011.SH,,20260506,,20260506,0.1181,213,equity
index:CSI300,tushare,000300.SH,600015.SH,,20260506,,20260506,0.1611,170,equity
index:CSI300,tushare,000300.SH,600016.SH,,20260506,,20260506,0.344,79,equity
index:CSI300,tushare,000300.SH,600018.SH,,20260506,,20260506,0.0531,289,equity
index:CSI300,tushare,000300.SH,600019.SH,,20260506,,20260506,0.2071,134,equity
index:CSI300,tushare,000300.SH,600023.SH,,20260506,,20260506,0.087,246,equity
index:CSI300,tushare,000300.SH,600025.SH,,20260506,,20260506,0.0671,273,equity
index:CSI300,tushare,000300.SH,600026.SH,,20260506,,20260506,0.1398,191,equity
index:CSI300,tushare,000300.SH,600027.SH,,20260506,,20260506,0.0752,261,equity
index:CSI300,tushare,000300.SH,600028.SH,,20260506,,20260506,0.2939,97,equity
index:CSI300,tushare,000300.SH,600029.SH,,20260506,,20260506,0.1115,222,equity
index:CSI300,tushare,000300.SH,600030.SH,,20260506,,20260506,1.0076,16,equity
index:CSI300,tushare,000300.SH,600031.SH,,20260506,,20260506,0.4658,54,equity
index:CSI300,tushare,000300.SH,600036.SH,,20260506,,20260506,1.7663,7,equity
index:CSI300,tushare,000300.SH,600039.SH,,20260506,,20260506,0.0786,255,equity
index:CSI300,tushare,000300.SH,600048.SH,,20260506,,20260506,0.1726,161,equity
index:CSI300,tushare,000300.SH,600050.SH,,20260506,,20260506,0.2612,107,equity
index:CSI300,tushare,000300.SH,600061.SH,,20260506,,20260506,0.0647,276,equity
index:CSI300,tushare,000300.SH,600066.SH,,20260506,,20260506,0.1798,156,equity
index:CSI300,tushare,000300.SH,600085.SH,,20260506,,20260506,0.0712,267,equity
index:CSI300,tushare,000300.SH,600089.SH,,20260506,,20260506,0.5271,47,equity
index:CSI300,tushare,000300.SH,600104.SH,,20260506,,20260506,0.2361,118,equity
index:CSI300,tushare,000300.SH,600111.SH,,20260506,,20260506,0.5276,46,equity
index:CSI300,tushare,000300.SH,600115.SH,,20260506,,20260506,0.1413,190,equity
index:CSI300,tushare,000300.SH,600150.SH,,20260506,,20260506,0.6983,29,equity
index:CSI300,tushare,000300.SH,600160.SH,,20260506,,20260506,0.1878,148,equity
index:CSI300,tushare,000300.SH,600161.SH,,20260506,,20260506,0.0527,290,equity
index:CSI300,tushare,000300.SH,600176.SH,,20260506,,20260506,0.3337,85,equity
index:CSI300,tushare,000300.SH,600183.SH,,20260506,,20260506,0.3686,71,equity
index:CSI300,tushare,000300.SH,600188.SH,,20260506,,20260506,0.1538,179,equity
index:CSI300,tushare,000300.SH,600196.SH,,20260506,,20260506,0.1182,212,equity
index:CSI300,tushare,000300.SH,600219.SH,,20260506,,20260506,0.1434,188,equity
index:CSI300,tushare,000300.SH,600233.SH,,20260506,,20260506,0.138,193,equity
index:CSI300,tushare,000300.SH,600276.SH,,20260506,,20260506,0.8993,21,equity
index:CSI300,tushare,000300.SH,600309.SH,,20260506,,20260506,0.6329,38,equity
index:CSI300,tushare,000300.SH,600346.SH,,20260506,,20260506,0.1812,155,equity
index:CSI300,tushare,000300.SH,600362.SH,,20260506,,20260506,0.1829,153,equity
index:CSI300,tushare,000300.SH,600372.SH,,20260506,,20260506,0.1207,210,equity
index:CSI300,tushare,000300.SH,600377.SH,,20260506,,20260506,0.0228,299,equity
index:CSI300,tushare,000300.SH,600406.SH,,20260506,,20260506,0.3955,64,equity
index:CSI300,tushare,000300.SH,600415.SH,,20260506,,20260506,0.1365,194,equity
index:CSI300,tushare,000300.SH,600426.SH,,20260506,,20260506,0.2153,131,equity
index:CSI300,tushare,000300.SH,600436.SH,,20260506,,20260506,0.1601,172,equity
index:CSI300,tushare,000300.SH,600438.SH,,20260506,,20260506,0.1761,160,equity
index:CSI300,tushare,000300.SH,600460.SH,,20260506,,20260506,0.1297,202,equity
index:CSI300,tushare,000300.SH,600482.SH,,20260506,,20260506,0.1678,165,equity
index:CSI300,tushare,000300.SH,600489.SH,,20260506,,20260506,0.2953,96,equity
