universe_id,provider,source_id,member_code,member_name,valid_from,valid_to,as_of_date,weight,rank,member_type
index:SSE50,tushare,000016.SH,600028.SH,,20260430,,20260430,0.853,39,equity
index:SSE50,tushare,000016.SH,600030.SH,,20260430,,20260430,2.887,10,equity
index:SSE50,tushare,000016.SH,600031.SH,,20260430,,20260430,1.312,29,equity
index:SSE50,tushare,000016.SH,600036.SH,,20260430,,20260430,5.147,4,equity
index:SSE50,tushare,000016.SH,600050.SH,,20260430,,20260430,0.768,42,equity
index:SSE50,tushare,000016.SH,600104.SH,,20260430,,20260430,0.689,45,equity
index:SSE50,tushare,000016.SH,600111.SH,,20260430,,20260430,1.459,27,equity
index:SSE50,tushare,000016.SH,600150.SH,,20260430,,20260430,2.049,16,equity
index:SSE50,tushare,000016.SH,600276.SH,,20260430,,20260430,2.614,12,equity
index:SSE50,tushare,000016.SH,600309.SH,,20260430,,20260430,1.828,21,equity
index:SSE50,tushare,000016.SH,600406.SH,,20260430,,20260430,1.133,30,equity
index:SSE50,tushare,000016.SH,600519.SH,,20260430,,20260430,9.422,1,equity
index:SSE50,tushare,000016.SH,600690.SH,,20260430,,20260430,0.878,38,equity
index:SSE50,tushare,000016.SH,600760.SH,,20260430,,20260430,0.434,49,equity
index:SSE50,tushare,000016.SH,600809.SH,,20260430,,20260430,0.76,43,equity
index:SSE50,tushare,000016.SH,600887.SH,,20260430,,20260430,1.887,19,equity
index:SSE50,tushare,000016.SH,600900.SH,,20260430,,20260430,3.632,6,equity
index:SSE50,tushare,000016.SH,600930.SH,,20260430,,20260430,0.196,50,equity
index:SSE50,tushare,000016.SH,601012.SH,,20260430,,20260430,1.084,33,equity
index:SSE50,tushare,000016.SH,601088.SH,,20260430,,20260430,1.863,20,equity
index:SSE50,tushare,000016.SH,601127.SH,,20260430,,20260430,0.788,41,equity
index:SSE50,tushare,000016.SH,601166.SH,,20260430,,20260430,3.299,7,equity
index:SSE50,tushare,000016.SH,601211.SH,,20260430,,20260430,1.979,17,equity
index:SSE50,tushare,000016.SH,601225.SH,,20260430,,20260430,1.101,32,equity
index:SSE50,tushare,000016.SH,601288.SH,,20260430,,20260430,2.161,14,equity
index:SSE50,tushare,000016.SH,601318.SH,,20260430,,20260430,6.877,2,equity
index:SSE50,tushare,000016.SH,601328.SH,,20260430,,20260430,1.971,18,equity
index:SSE50,tushare,000016.SH,601398.SH,,20260430,,20260430,2.619,11,equity
index:SSE50,tushare,000016.SH,601601.SH,,20260430,,20260430,1.385,28,equity
index:SSE50,tushare,000016.SH,601628.SH,,20260430,,20260430,0.664,46,equity
index:SSE50,tushare,000016.SH,601658.SH,,20260430,,20260430,0.607,48,equity
index:SSE50,tushare,000016.SH,601668.SH,,20260430,,20260430,1.102,31,equity
index:SSE50,tushare,000016.SH,601728.SH,,20260430,,20260430,1.017,34,equity
index:SSE50,tushare,000016.SH,601816.SH,,20260430,,20260430,1.563,24,equity
index:SSE50,tushare,000016.SH,601857.SH,,20260430,,20260430,1.505,25,equity
index:SSE50,tushare,000016.SH,601888.SH,,20260430,,20260430,0.696,44,equity
index:SSE50,tushare,000016.SH,601899.SH,,20260430,,20260430,5.96,3,equity
index:SSE50,tushare,000016.SH,601919.SH,,20260430,,20260430,0.967,35,equity
index:SSE50,tushare,000016.SH,601985.SH,,20260430,,20260430,0.804,40,equity
index:SSE50,tushare,000016.SH,601988.SH,,20260430,,20260430,0.894,37,equity
index:SSE50,tushare,000016.SH,603019.SH,,20260430,,20260430,1.478,26,equity
index:SSE50,tushare,000016.SH,603259.SH,,20260430,,20260430,2.944,9,equity
index:SSE50,tushare,000016.SH,603501.SH,,20260430,,20260430,0.904,36,equity
index:SSE50,tushare,000016.SH,603993.SH,,20260430,,20260430,1.766,23,equity
index:SSE50,tushare,000016.SH,688008.SH,,20260430,,20260430,2.157,15,equity
index:SSE50,tushare,000016.SH,688012.SH,,20260430,,20260430,1.792,22,equity
index:SSE50,tushare,000016.SH,688041.SH,,20260430,,20260430,2.993,8,equity
index:SSE50,tushare,000016.SH,688111.SH,,20260430,,20260430,0.634,47,equity
index:SSE50,tushare,000016.SH,688256.SH,,20260430,,20260430,3.895,5,equity
index:SSE50,tushare,000016.SH,688981.SH,,20260430,,20260430,2.58,13,equity
